Title,Year,Runtime,Genre,Budget,Revenue,Personal,IMDb,Rotten_Tomatoes,Metacritic,Filmaffinity,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
(500) Days of Summer,2009,95,Romance,7.5,61,40,76,86,76,68,83,79,100,77,,81,95,94,46,90,80,12,,80,99,78,80,99,76,56
10 Things I Hate About You,1999,97,Romance,13,54,60,74,71,70,59,20,73,76,38,96,92,90,67,88,95,80,78,43,88,61,89,22,86,58,93
28 days later,2002,113,Horror,8,85.7,85,75,87,73,67,81,,80,99,64,20,,45,51,67,,43,90,17,100,78,0,78,81,92
A Star is Born,2018,135,Romance,36,436.2,70,76,90,88,68,93,83,84,86,94,18,41,86,90,44,76,83,11,77,99,90,77,73,83,94
Adaptation (Ladron de Orquideas),2002,114,Comedy,19,32.8,95,77,91,83,74,24,19,71,25,80,20,89,,78,87,37,78,25,11,85,72,61,91,80,86
Alien: Romulus,2024,119,Horror,80,350.9,85,71,80,64,64,90,,98,84,52,77,46,93,79,55,83,,31,,88,90,47,93,88,60
Am?lie,2001,122,Romance,10,174.2,85,83,89,69,77,58,77,60,40,90,53,77,100,75,15,27,82,41,28,88,55,97,100,92,52
American Psycho,2000,102,Horror,7,34,60,76,69,64,66,50,77,77,69,91,77,20,,96,78,62,87,,100,20,81,65,57,53,27
Anora,2024,138,Drama,6,57,86,74,93,91,69,50,83,82,76,80,97,87,98,79,52,76,71,79,99,86,19,35,80,82,
Arrival,2016,116,SciFi,47,47,86,79,94,81,74,57,100,19,76,82,84,18,88,88,95,83,,89,93,97,57,43,96,82,65
Avatar,2009,162,SciFi,237,2920,71,79,81,83,72,98,85,94,83,45,60,19,,82,,94,89,44,86,89,73,41,12,85,15
Avatar: The Way of Water,2022,192,SciFi,460,2320,69,75,76,67,65,88,84,82,99,92,83,45,,80,54,23,62,55,98,84,84,41,73,,78
Avengers: Endgame,2019,181,Action,400,2800,15,84,94,78,73,61,80,16,86,94,14,100,81,97,,56,51,,95,,89,80,,77,84
Avengers: Infinity War,2018,149,Action,400,2052,25,84,85,68,75,44,89,95,94,93,78,95,59,53,95,96,97,78,98,12,36,27,90,,94
Baby Driver,2017,113,Action,34,227,65,75,92,86,65,69,69,88,84,85,100,40,82,86,14,24,,79,87,63,49,91,80,77,76
Back to the Future,1985,116,SciFi,19,381.1,90,85,93,87,75,23,97,42,,76,49,55,12,26,81,55,93,84,83,82,70,96,,100,0
Back to the Future Part II,1989,108,SciFi,40,332,80,78,63,57,72,96,85,69,,32,96,81,94,85,83,94,81,86,70,,93,69,99,,81
Back to the Future Part III,1990,118,SciFi,40,244,70,75,79,55,66,77,91,98,49,35,79,78,54,94,91,93,0,20,14,81,89,27,96,91,26
Ballerina,2025,125,Action,90,135.9,87,69,76,59,64,78,92,72,97,33,51,36,78,91,85,95,92,27,100,86,80,77,77,98,89
Barbie,2023,114,Comedy,145,1447,15,68,88,80,58,,44,80,50,94,84,96,91,95,,39,48,30,54,,96,14,97,,18
Batman Begins,2005,140,Action,150,376,78,82,85,70,74,96,85,76,88,95,80,48,86,83,83,78,19,,70,47,77,79,78,91,
Batman Dark Knight ,2008,152,Action,185,1009,100,91,94,85,81,90,71,70,62,59,79,,86,65,94,80,87,96,31,,92,20,,93,86
Batman Dark Knight Rises,2012,165,Action,250,1081,92,84,87,78,75,36,63,93,55,22,97,95,33,84,81,60,76,,79,55,88,97,70,88,47
Big Hero 6,2014,102,Animation,165,435.3,84,78,90,74,70,36,68,98,93,81,43,,89,92,94,45,94,90,20,34,90,36,67,79,86
Birdman,2014,119,Drama,18,103.2,80,77,91,87,73,98,76,93,56,90,79,97,79,82,84,19,86,22,60,76,100,90,73,99,22
Black Panther,2018,135,Action,200,1348.3,75,73,96,88,63,92,97,99,79,86,98,81,20,,93,98,29,16,87,,80,79,13,,81
Black Swan,2010,108,Thriller,13,329,45,80,85,79,76,88,80,,80,90,18,80,95,85,98,88,77,82,,76,84,72,60,21,82
Blade Runner (1982),1982,117,SciFi,28,41.8,91,81,90,84,79,93,89,99,54,97,,77,41,,100,86,80,99,96,91,98,89,84,70,44
Blade Runner 2049 ,2017,164,SciFi,185,277,86,80,88,81,79,97,92,80,12,99,100,63,99,81,86,63,33,80,,89,,96,43,40,51
Casablanca,1942,102,Drama,1,4.1,85,85,99,96,83,80,47,100,97,88,,80,72,61,80,93,88,,52,80,82,85,,93,72
Challengers,2024,131,Drama,96,55,80,64,62,80,64,83,40,72,86,61,94,54,57,,24,80,90,15,85,76,60,,93,96,80
Dead Poets Society,1989,128,Drama,16,235,85,81,85,79,79,80,99,100,87,91,96,92,14,24,20,85,78,94,84,82,12,17,94,79,94
Deadpool,2016,108,Comedy,58,2900,85,80,85,65,68,71,99,81,97,61,79,60,14,74,90,85,88,92,83,12,,99,79,80,89
Deadpool 2,2018,120,Comedy,110,786.4,82,76,83,66,67,79,40,67,85,77,,96,96,89,88,25,73,19,,81,13,89,0,34,88
Deadpool & Wolverine,2024,128,Comedy,200,1300,71,75,78,56,66,99,,84,76,27,92,79,85,89,27,12,79,23,83,94,83,65,97,74,94
Demolition,2015,100,Drama,10,18.2,80,70,54,49,56,75,67,76,32,70,21,38,80,26,32,27,92,29,92,80,94,92,25,60,86
Django Unchained,2012,165,Western,426,100,100,85,87,81,82,,87,62,34,,41,68,,87,92,41,68,,84,93,81,75,79,76,93
Dune ,2021,155,SciFi,165,410,80,80,83,74,76,56,49,78,27,77,22,70,75,97,89,88,100,40,76,80,64,83,61,13,45
Dune: Part Two,2025,166,SciFi,190,715,100,94,92,88,81,88,37,87,66,22,84,93,17,12,70,64,22,97,80,88,,15,,50,99
Ghost in the Shell,2017,83,SciFi,3,6.4,84,79,96,76,77,0,93,45,90,87,91,83,78,38,73,93,84,,78,80,50,90,85,83,80
Eternal Sunshine of the Spotless Mind,2004,108,SciFi,20,72,86,83,93,89,86,92,52,77,77,49,97,42,32,69,37,99,56,100,90,100,98,76,83,85,58
F1,2025,155,Action,300,600,89,78,82,68,70,28,29,98,60,84,79,92,92,64,16,95,56,97,31,77,97,60,13,,77
Fantastic Mr. Fox,2009,87,Animation,40,46.2,90,79,93,83,74,87,80,81,93,84,48,87,94,27,99,96,91,27,82,90,96,60,20,95,100
Fight Club,1999,139,Drama,63,100,70,88,79,66,87,,96,,,,89,47,93,,,86,58,18,93,,46,11,79,87,59
Five Nights at Freddy,2023,110,Horror,20,295.5,32,54,32,33,43,88,97,0,96,12,17,37,69,30,92,80,,94,87,93,84,70,82,42,76
Forrest Gump,1994,142,Drama,55,678,15,88,71,82,82,78,83,94,,42,98,23,78,,0,42,67,,97,,84,94,,80,84
Get Out,2017,104,Horror,5,250,87,78,98,84,77,95,87,82,80,20,95,86,50,68,89,56,49,95,94,88,95,23,90,,27
Ghostbusters,1984,105,Comedy,30,1140,78,78,95,71,66,82,95,90,84,97,80,99,11,93,60,70,93,91,90,,86,79,83,60,80
Gladiator,2000,155,Action,103,503.5,100,85,79,67,77,77,,62,82,82,86,26,76,79,17,76,55,50,94,42,92,89,29,79,96
Gone Girl,2014,149,Thriller,61,168,50,81,86,79,72,34,,22,93,89,98,71,99,48,59,58,77,11,93,53,38,90,100,,80
Good Will Hunting,1997,126,Drama,10,226,60,83,97,70,78,91,84,,90,93,77,55,,36,91,100,46,11,27,100,42,65,89,97,80
Goodfellas,1990,146,Crime,25,47.1,88,87,96,90,81,89,27,82,76,89,95,75,54,33,28,89,,80,93,94,78,73,79,100,88
Gravity,2013,151,Suspense,100,723.2,74,77,77,96,96,,91,81,,,38,,,95,83,93,81,85,31,84,,99,0,97,94
Halloween,1978,91,Horror,10,259.5,77,77,96,87,70,92,,,71,24,84,87,99,84,28,50,0,85,80,78,99,98,49,81,61
Her,2013,126,SciFi,23,48.8,71,80,95,90,74,89,69,85,56,76,97,82,23,39,96,87,59,97,78,95,44,80,20,17,84
Inception,2010,148,SciFi,160,800,70,88,87,74,86,91,76,,94,97,34,77,79,98,99,88,,93,15,81,80,,91,90,85
Inglourious Basterds,2009,153,War,70,321,95,84,89,69,85,87,31,68,69,53,91,85,65,94,44,99,56,,96,97,90,67,96,58,89
Inside Out,2015,95,Comedy,175,858.8,90,81,98,94,77,95,89,97,77,78,89,88,99,32,61,19,89,96,77,72,,77,83,,
Interstellar,2014,169,SciFi,165,731.6,90,87,73,74,80,81,0,92,78,30,42,78,98,46,54,80,78,37,87,49,90,89,21,57,
John Wick,2014,101,Action,20,87.8,92,75,86,68,64,88,84,93,45,78,,80,98,55,19,69,80,40,94,63,80,97,82,37,28
John Wick: Chapter 2 ,2017,122,Action,40,171.5,89,74,89,75,64,80,28,54,59,90,20,,29,68,78,,93,70,98,30,53,26,42,82,33
John Wick 3: Parabellum,2019,131,Action,75,327.7,73,74,89,73,64,,30,66,88,79,87,,95,84,76,68,83,21,89,,84,97,96,71,99
John Wick 4,2023,169,Action,100,447.3,95,76,94,78,67,44,77,,40,24,79,82,95,92,92,93,92,84,99,71,77,76,50,92,81
Jojo Rabbit,2019,108,Comedy,14,90.4,82,79,80,58,66,,81,54,87,,52,23,98,31,50,81,,85,80,91,81,21,76,80,62
Jurassic World,2015,124,SciFi,150,1670,65,69,71,59,58,95,94,85,65,,85,97,93,,76,76,90,85,17,,99,80,,73,89
Jurassic Park,1993,127,Adventure,63,1109.7,78,82,92,68,76,80,78,67,100,34,93,24,79,91,99,91,85,,15,,95,,,,20
The Karate Kid,1984,146,Action,8,130,70,73,81,61,61,99,,84,23,96,77,60,56,19,84,,29,,,79,87,88,13,79,57
Kill Bill: Vol. 1,2003,111,Action,30,180,100,82,85,69,81,30,,98,92,,84,,83,85,40,93,48,88,85,97,48,60,80,88,
Killer Clowns,1988,88,Horror,2,44.6,23,62,71,63,55,34,99,22,87,77,86,63,90,70,86,90,98,30,98,97,19,97,96,11,80
Knives Out,2019,130,Mystery,40,313,70,79,97,82,75,89,52,66,69,83,90,40,,27,90,66,78,20,52,91,77,85,86,21,74
La Haine,1995,98,Crime,2.6,15.3,81,81,100,,78,40,93,85,82,23,80,97,92,92,,80,,79,85,81,30,82,91,96,14
Lady Bird,2017,94,Drama,10,70,69,74,99,94,76,99,53,30,40,52,65,85,,,,20,,97,20,35,,,81,,98
Lalaland,2016,128,Musical,30,472,97,80,91,74,77,83,91,99,,93,78,70,15,80,95,23,98,78,94,81,89,70,12,100,88
Logan,2017,137,Action,97,619,88,81,93,77,69,97,24,,94,91,33,56,100,29,82,100,67,24,78,,94,78,94,27,78
Mad Max: Fury Road,2015,120,Action,150,380.4,82,81,97,90,76,87,89,,86,80,99,,100,,89,65,81,89,,90,98,38,,85,100
Mission: Impossible ,1996,110,Action,80,457.7,82,72,66,59,64,48,70,30,88,86,75,,92,29,81,83,40,85,82,,18,52,40,59,100
Mission: Impossible 2,2000,123,Action,125,546.4,60,61,57,59,48,75,,93,93,36,90,48,12,40,65,92,27,77,62,73,83,86,80,59,90
Mission: Impossible 3,2006,126,Action,150,398.5,83,69,73,66,56,36,79,78,84,36,60,53,90,59,77,15,,94,16,17,,95,70,90,82
Mission: Impossible - Dead Reckoning Part One,2023,163,Action,291,571.1,75,76,96,81,69,96,87,44,78,90,86,76,100,,87,50,94,81,24,44,,88,49,94,
