Title,Year,Runtime,Genre,Budget,Revenue,Personal,IMDb,Rotten_Tomatoes,Metacritic,Filmaffinity,Fans
10 Things I Hate About You,1999,97,Romance,13,54,60,74,71,70,59,71.65
28 Days Later,2002,113,Horror,8,85.7,85,75,87,73,67,63.88235294
A Star Is Born,2018,135,Romance,36,436.2,70,76,90,88,68,74.1
Adaptation (Ladron De Orquideas),2002,114,Comedy,19,32.8,95,77,91,83,74,58.89473684
Alien: Romulus,2024,119,Horror,80,350.9,85,71,80,64,64,73.76470588
Am?Lie,2001,122,Romance,10,174.2,85,83,89,69,77,65.35
American Psycho,2000,102,Horror,7,34,60,76,69,64,66,65.94444444
Anora,2024,138,Drama,6,57,86,74,93,91,69,74.26315789
Arrival,2016,116,SciFi,47,47,86,79,94,81,74,74.31578947
Baby Driver,2017,113,Action,34,227,65,75,92,86,65,70.68421053
Back To The Future,1985,116,SciFi,19,381.1,90,85,93,87,75,62.44444444
Back To The Future Part Ii,1989,108,SciFi,40,332,80,78,63,57,72,82
Back To The Future Part Iii,1990,118,SciFi,40,244,70,75,79,55,66,64.15
Ballerina,2025,125,Action,90,135.9,87,69,76,59,64,76.7
Batman Begins,2005,140,Action,150,376,78,82,85,70,74,75.5
Batman Dark Knight ,2008,152,Action,185,1009,100,91,94,85,81,74.17647059
Batman Dark Knight Rises,2012,165,Action,250,1081,92,84,87,78,75,69.42105263
Big Hero 6,2014,102,Animation,165,435.3,84,78,90,74,70,70.26315789
Birdman,2014,119,Drama,18,103.2,80,77,91,87,73,74.05
Blade Runner (1982),1982,117,SciFi,28,41.8,91,81,90,84,79,82.61111111
Blade Runner 2049 ,2017,164,SciFi,185,277,86,80,88,81,79,72.44444444
Casablanca,1942,102,Drama,1,4.1,85,85,99,96,83,79.41176471
Dead Poets Society,1989,128,Drama,16,235,85,81,85,79,79,71.1
Deadpool 2,2018,120,Comedy,110,786.4,82,76,83,66,67,63.27777778
Dune ,2021,155,SciFi,165,410,80,80,83,74,76,64.5
Dune: Part Two,2025,166,SciFi,190,715,100,94,92,88,81,60.61111111
Ghost In The Shell,2017,83,SciFi,3,6.4,84,79,96,76,77,73.73684211
Eternal Sunshine Of The Spotless Mind,2004,108,SciFi,20,72,86,83,93,89,86,73.45
Fantastic Mr. Fox,2009,87,Animation,40,46.2,90,79,93,83,74,76.85
Fight Club,1999,139,Drama,63,100,70,88,79,66,87,66.30769231
Get Out,2017,104,Horror,5,250,87,78,98,84,77,72.05263158
Ghostbusters,1984,105,Comedy,30,1140,78,78,95,71,66,80.15789474
Gladiator,2000,155,Action,103,503.5,100,85,79,67,77,67.84210526
Gone Girl,2014,149,Thriller,61,168,50,81,86,79,72,67.38888889
Good Will Hunting,1997,126,Drama,10,226,60,83,97,70,78,70.77777778
Goodfellas,1990,146,Crime,25,47.1,88,87,96,90,81,74.84210526
Gravity,2013,151,Suspense,100,723.2,74,77,77,96,96,75.14285714
Halloween,1978,91,Horror,10,259.5,77,77,96,87,70,69.44444444
Her,2013,126,SciFi,23,48.8,71,80,95,90,74,68.65
Inception,2010,148,SciFi,160,800,70,88,87,74,86,80.47058824
Inglourious Basterds,2009,153,War,70,321,95,84,89,69,85,75.52631579
Inside Out,2015,95,Comedy,175,858.8,90,81,98,94,77,77.52941176
Interstellar,2014,169,SciFi,165,731.6,90,87,73,74,80,62.47368421
John Wick,2014,101,Action,20,87.8,92,75,86,68,64,68.94736842
John Wick: Chapter 2 ,2017,122,Action,40,171.5,89,74,89,75,64,57.38888889
John Wick 3: Parabellum,2019,131,Action,75,327.7,73,74,89,73,64,77.23529412
John Wick 4,2023,169,Action,100,447.3,95,76,94,78,67,75.78947368
Jojo Rabbit,2019,108,Comedy,14,90.4,82,79,80,58,66,66.64705882
Jurassic Park,1993,127,Adventure,63,1109.7,78,82,92,68,76,70.06666667
The Karate Kid,1984,146,Action,8,130,70,73,81,61,61,64.375
Kill Bill: Vol. 1,2003,111,Action,30,180,100,82,85,69,81,74.9375
Knives Out,2019,130,Mystery,40,313,70,79,97,82,75,66.10526316
Lady Bird,2017,94,Drama,10,70,69,74,99,94,76,59.61538462
Lalaland,2016,128,Musical,30,472,97,80,91,74,77,75.63157895
Logan,2017,137,Action,97,619,88,81,93,77,69,69.22222222
Mad Max: Fury Road,2015,120,Action,150,380.4,82,81,97,90,76,85.06666667
Mission: Impossible ,1996,110,Action,80,457.7,82,72,66,59,64,64.33333333
Mission: Impossible 3,2006,126,Action,150,398.5,83,69,73,66,56,62.83333333
Mission: Impossible - Fallout,2018,148,Action,178,791,85,77,98,87,67,71
Mission: Impossible - Ghost Protocol,2011,133,Action,145,694.7,95,74,94,73,61,67.9375
Mission: Impossible - Rogue Nation,2015,131,Action,150,682.7,93,74,94,75,63,75.38888889
Moonlight,2016,111,Romance,1.5,65.3,78,74,98,99,70,80.10526316
Nightcrawler,2014,117,Suspense,8.5,50.3,66,78,95,76,71,70.27777778
No Country For Old Men,2007,122,Suspense,25,171.6,94,82,93,91,79,72.16666667
Nop,2022,130,Horror,68,172.3,83,68,83,77,60,63.17647059
Nosferatu,2024,132,Horror,50,181,56,72,84,78,67,75.94736842
Nosferatu (1922),1922,94,Horror,73.56683417,414.4969849,78,78,97,90,76,74.68421053
Oldboy ,2003,101,Thriller,3,17,80,83,82,77,86,74.89473684
